ID,label,headline,journalTitle,year,linkToArchive,topic
0,literal,Prisão perpétua para homem que tentou assassinar senadora,Público,2012,https://arquivo.pt/wayback/20121230181331/http://publico.pt/mundo/noticia/homem-que-tentou-assassinar-senadora-norteamericana-condenado-a-sete-prisoes-perpetuas-1571761,Crime
1,literal,"John Nash, matemático de Uma Mente Brilhante, morre em acidente",Público,2016,https://arquivo.pt/wayback/20160117223452/http://publico.pt/economia/noticia/john-nash-matematico-de-uma-mente-brilhante-morre-em-acidente-1696715,Cinema
2,estigma,O mito da reeleição mínima garantida,Público,2011,https://arquivo.pt/wayback/20110121142608/http://publico.pt/Presidenciais2011/Noticias/Analise/o-mito-da-reeleicao-minima-garantida_1475944,Política
3,literal,"Morreu Rita Levi-Montalcini, a grande dama da ciência italiana",Público,2013,https://arquivo.pt/wayback/20130117170513/http://publico.pt/ciencia/noticia/morreu-rita-levimontalcini-a-grande-dama-da-ciencia-italiana-1579018,Conflitos militares
4,literal,"Por trás da porta amarela, há um homem com problemas psicológicos",Público,2015,https://arquivo.pt/wayback/20150420143056/http://publico.pt/sociedade/noticia/por-tras-da-porta-amarela-ha-um-homem-com-problemas-psicologicos-1662325,Crime
5,estigma,Gregorio Duvivier de todas as maneiras e sem estilo,Público,2015,https://arquivo.pt/wayback/20151104230446/http://publico.pt/culturaipsilon/noticia/gregorio-duvivier-de-todas-as-maneiras-e-sem-estilo-1709137,Literatura
6,estigma,"Ângelo de Sousa: Viver, esperar, talvez pintar",Público,2013,https://arquivo.pt/wayback/20131106074456/http://publico.pt/cultura/noticia/angelo-de-sousa-viver-esperar-talvez-pintar-1487487,Literatura
7,estigma,"""Sintomas de esquizofrenia""",Público,2001,https://arquivo.pt/wayback/20010111060554/http://jornal.publico.pt/publico/2001/01/11/Politica/P08.html,Política
8,literal,Esquizofrenia e depressão,Público,2000,https://arquivo.pt/wayback/20001231060625/http://jornal.publico.pt/publico/2000/12/31/LocalPorto/LP01CX02.html,Saúde
9,literal,"Homicida, ser ou não ser doente",Público,2001,https://arquivo.pt/wayback/20010701063639/http://jornal.publico.pt/publico/2001/07/01/Sociedade/S02.html,Crime
10,literal,A polícia na fronteira,Público,2001,https://arquivo.pt/wayback/20010618063935/http://jornal.publico.pt/publico/2001/06/18/Publica/TMCRONIS03.html,Crime
11,estigma,"Paquistão, aliado dos taliban, promete colaborar com os EUA",Público,2001,https://arquivo.pt/wayback/20010914064032/http://jornal.publico.pt/publico/2001/09/14/Destaque/X30.html,Conflitos militares
12,literal,Como tornar-se doente mental?,Público,2001,https://arquivo.pt/wayback/20010303083637/http://jornal.publico.pt/publico/2001/03/03/Sociedade/S05.html,Saúde
13,estigma,"Animais, sóis e átomos",Público,2001,https://arquivo.pt/wayback/20010316060911/http://jornal.publico.pt/publico/2001/03/16/Y/TAM08.html,Música
